ID,Frequency,Recency,Monetary,T,Actual_Purchases,Predicted_Purchases,p_alive,p_not_alive,Actual_Avg_Monetary,Predicted_Avg_Monetary,Actual_cltv,Predicted_cltv,CLTV_label
5524,22,58,1617,663,34.137931034482754,2.51656321407726e-27,0.0,1.0,73.5,73.80445710007183,0.0,0.0,Non-profitable
2174,4,38,27,113,9.473684210526315,0.02179102608409922,0.012,0.988,6.75,7.69062538454557,0.01,0.01,Profitable
4141,20,26,776,312,69.23076923076924,8.974129119091946e-23,0.0,1.0,38.8,39.057762506222836,0.0,0.0,Non-profitable
6182,6,26,53,139,20.76923076923077,6.844751565167371e-05,0.0,1.0,8.833333333333334,9.473611471956728,0.0,0.0,Non-profitable
5324,14,94,422,161,13.404255319148936,0.0047061746531544,0.0011,0.9989,30.142857142857142,30.48389696117913,0.01,0.01,Profitable
7446,20,16,716,293,112.5,4.0322606950831967e-26,0.0,1.0,35.8,36.05108745901477,0.0,0.0,Non-profitable
965,17,34,590,593,45.0,6.846260601251631e-25,0.0,1.0,34.705882352941174,34.99853023759443,0.0,0.0,Non-profitable
6177,8,32,169,417,22.5,5.893707753073924e-12,0.0,1.0,21.125,21.672917068871943,0.0,0.0,Non-profitable
4855,5,19,46,388,23.684210526315788,9.738165758999913e-10,0.0,1.0,9.2,9.97276641404062,0.0,0.0,Non-profitable
5899,1,68,49,108,1.3235294117647058,0.25410066957395283,0.3922,0.6078,49.0,54.85674915626392,0.7,0.89,Profitable
387,5,59,61,593,7.627118644067796,8.751666924424913e-10,0.0,1.0,12.2,12.999646025548664,0.0,0.0,Non-profitable
2125,15,82,1102,226,16.463414634146343,4.191957787214003e-07,0.0,1.0,73.46666666666667,73.91352660355936,0.0,0.0,Non-profitable
8180,12,53,310,226,20.37735849056604,2.177176025674656e-08,0.0,1.0,25.833333333333332,26.21541921280577,0.0,0.0,Non-profitable
2569,4,38,46,627,9.473684210526315,3.4131309170709703e-10,0.0,1.0,11.5,12.493944047734628,0.0,0.0,Non-profitable
2114,25,23,1315,582,97.82608695652173,2.6765906702116374e-38,0.0,1.0,52.6,52.83067152914752,0.0,0.0,Non-profitable
9736,6,51,96,552,10.588235294117647,1.496914874717155e-10,0.0,1.0,16.0,16.693708687880704,0.0,0.0,Non-profitable
4939,11,20,317,667,49.50000000000001,1.72792429556541e-21,0.0,1.0,28.818181818181817,29.24724073085222,0.0,0.0,Non-profitable
6565,24,91,1782,458,23.736263736263737,5.079218301137217e-19,0.0,1.0,74.25,74.53042876865024,0.0,0.0,Non-profitable
2278,6,86,133,603,6.27906976744186,1.282190354083053e-09,0.0,1.0,22.166666666666668,22.906350478326917,0.0,0.0,Non-profitable
9360,11,41,316,690,24.146341463414636,1.9854436253895512e-18,0.0,1.0,28.727272727272727,29.155963198010557,0.0,0.0,Non-profitable
5376,28,42,1730,539,60.0,6.865920424957139e-34,0.0,1.0,61.785714285714285,62.00622130683966,0.0,0.0,Non-profitable
1993,14,63,972,553,20.0,8.734776948161476e-17,0.0,1.0,69.42857142857143,69.8946037691582,0.0,0.0,Non-profitable
4047,17,0,544,169,0.0,3.218338163261433e-40,0.0,1.0,32.0,32.285562007308066,0.0,0.0,Non-profitable
1409,13,69,444,468,16.956521739130434,1.0071868823425429e-13,0.0,1.0,34.15384615384615,34.534956203620645,0.0,0.0,Non-profitable
7892,6,89,75,543,6.067415730337078,9.321652383954687e-09,0.0,1.0,12.5,13.16761469870853,0.0,0.0,Non-profitable
2404,10,4,257,398,225.0,6.296002910955429e-22,0.0,1.0,25.7,26.15824921186926,0.0,0.0,Non-profitable
9422,7,26,131,394,24.23076923076923,3.218717312447556e-11,0.0,1.0,18.714285714285715,19.325587363229342,0.0,0.0,Non-profitable
1966,25,96,1672,219,23.4375,7.303640430000263e-09,0.0,1.0,66.88,67.13607880259922,0.0,0.0,Non-profitable
6864,6,34,30,38,15.882352941176471,6.812607463315561,0.9012,0.0988,5.0,5.6116990076253,1.91,2.46,Profitable
3033,10,56,318,414,16.071428571428573,1.9813274531770237e-11,0.0,1.0,31.8,32.28545493701532,0.0,0.0,Non-profitable
5710,7,31,120,627,20.32258064516129,5.100310218785474e-14,0.0,1.0,17.142857142857142,17.744127474099923,0.0,0.0,Non-profitable
7373,11,8,302,608,123.75,1.1298795182217246e-24,0.0,1.0,27.454545454545453,27.878077738227283,0.0,0.0,Non-profitable
8755,17,4,1196,494,382.5,2.1787608557072925e-37,0.0,1.0,70.3529411764706,70.73893779310619,0.0,0.0,Non-profitable
10738,5,55,65,304,8.181818181818182,4.966680037385453e-06,0.0,1.0,13.0,13.80681392195081,0.0,0.0,Non-profitable
4339,23,37,913,180,55.945945945945944,1.4592193059224009e-15,0.0,1.0,39.69565217391305,39.92146085410765,0.0,0.0,Non-profitable
10755,6,76,81,300,7.105263157894736,1.3653843326787438e-05,0.0,1.0,13.5,14.175070124186293,0.0,0.0,Non-profitable
8595,5,99,67,138,4.545454545454545,0.4526088055412533,0.2492,0.7508,13.4,14.210397870151883,0.32,0.41,Profitable
2968,22,53,902,513,37.35849056603774,1.461456084874375e-24,0.0,1.0,41.0,41.238731293412386,0.0,0.0,Non-profitable
8601,19,3,1395,426,570.0,1.7522089352000709e-41,0.0,1.0,73.42105263157895,73.7735095834095,0.0,0.0,Non-profitable
503,5,88,53,474,5.113636363636363,2.8338195001272886e-07,0.0,1.0,10.6,11.385310232744374,0.0,0.0,Non-profitable
8430,3,4,22,552,67.5,3.609957440535809e-11,0.0,1.0,7.333333333333333,8.600974135681305,0.0,0.0,Non-profitable
2139,5,19,31,270,23.684210526315788,7.45326611911931e-08,0.0,1.0,6.2,6.945886802532576,0.0,0.0,Non-profitable
9909,7,24,122,597,26.25,2.0694742297558746e-14,0.0,1.0,17.428571428571427,18.031665635759815,0.0,0.0,Non-profitable
7286,4,92,55,401,3.9130434782608696,1.1173670406428918e-05,0.0,1.0,13.75,14.769200256613656,0.0,0.0,Non-profitable
6566,19,39,1319,598,43.84615384615385,3.0335808394371135e-26,0.0,1.0,69.42105263157895,69.76413999886451,0.0,0.0,Non-profitable
8614,16,29,507,48,49.6551724137931,0.0886994702609158,0.0058,0.9942,31.6875,31.990089668944204,0.14,0.18,Profitable
4114,28,2,1693,687,1260.0,2.046890022788853e-71,0.0,1.0,60.464285714285715,60.68269392725896,0.0,0.0,Non-profitable
1331,5,54,72,543,8.333333333333332,2.0554709093533535e-09,0.0,1.0,14.4,15.219357740654564,0.0,0.0,Non-profitable
9381,16,57,606,382,25.263157894736842,2.922635089629188e-15,0.0,1.0,37.875,38.19480835298826,0.0,0.0,Non-profitable
6260,26,55,1957,587,42.54545454545455,4.877517113835107e-30,0.0,1.0,75.26923076923077,75.52979476220746,0.0,0.0,Non-profitable
10383,20,30,1093,453,60.0,4.810213069145372e-26,0.0,1.0,54.65,54.94302900563883,0.0,0.0,Non-profitable
7437,5,31,29,62,14.516129032258064,0.42697549940006413,0.1075,0.8925,5.8,6.542302854331504,0.14,0.18,Profitable
8375,16,63,518,118,22.857142857142854,0.001151526306859829,0.0002,0.9998,32.375,32.67950285606021,0.0,0.0,Non-profitable
6853,20,12,1438,360,150.0,6.8453411665669e-31,0.0,1.0,71.9,72.23141052708526,0.0,0.0,Non-profitable
3076,18,18,612,660,90.0,2.7498180560123836e-32,0.0,1.0,34.0,34.27460392277207,0.0,0.0,Non-profitable
1012,20,26,884,496,69.23076923076924,2.0626273092180685e-28,0.0,1.0,44.2,44.46977759119738,0.0,0.0,Non-profitable
6518,18,8,606,383,202.5,1.098491141173488e-31,0.0,1.0,33.666666666666664,33.94044630575382,0.0,0.0,Non-profitable
4137,15,29,1076,205,46.55172413793104,3.554724636814142e-13,0.0,1.0,71.73333333333333,72.17504719493661,0.0,0.0,Non-profitable
8082,4,75,34,404,4.800000000000001,3.42178819867664e-06,0.0,1.0,8.5,9.460269102562592,0.0,0.0,Non-profitable
1386,3,0,11,49,0.0,6.534104007357208e-05,0.0,1.0,3.6666666666666665,4.879223675728493,0.0,0.0,Non-profitable
9369,31,19,1274,102,146.8421052631579,6.164491052464712e-21,0.0,1.0,41.096774193548384,41.266235796672305,0.0,0.0,Non-profitable
4477,17,4,653,275,382.5,4.09700834693272e-31,0.0,1.0,38.411764705882355,38.71411716168229,0.0,0.0,Non-profitable
1357,12,90,1562,447,12.0,4.830914696082558e-11,0.0,1.0,130.16666666666666,130.9362328267178,0.0,0.0,Non-profitable
1402,18,1,1253,656,1620.0,1.1209094697857726e-50,0.0,1.0,69.61111111111111,69.97377600755513,0.0,0.0,Non-profitable
6312,26,29,863,469,80.6896551724138,9.66368008505025e-34,0.0,1.0,33.19230769230769,33.380891862900995,0.0,0.0,Non-profitable
8132,19,88,661,450,19.431818181818183,8.468078451877114e-16,0.0,1.0,34.78947368421053,35.05144017477754,0.0,0.0,Non-profitable
1050,7,58,65,60,10.862068965517242,5.350285198765025,0.9599,0.040100000000000025,9.285714285714286,9.836828028452834,2.63,3.37,Profitable
5846,3,68,13,557,3.9705882352941178,1.551921510196912e-07,0.0,1.0,4.333333333333333,5.555905577538095,0.0,0.0,Non-profitable
1859,18,34,1890,671,47.64705882352941,1.1972153371888916e-27,0.0,1.0,105.0,105.45017634765935,0.0,0.0,Non-profitable
7503,22,40,2209,625,49.50000000000001,4.7727716014953596e-30,0.0,1.0,100.4090909090909,100.76796713859265,0.0,0.0,Non-profitable
10401,3,12,18,298,22.5,5.94171630286002e-07,0.0,1.0,6.0,7.247610332062101,0.0,0.0,Non-profitable
1618,19,9,692,543,190.0,1.252601887206017e-36,0.0,1.0,36.421052631578945,36.686840926368255,0.0,0.0,Non-profitable
3332,8,87,165,669,8.275862068965518,6.495986018723496e-12,0.0,1.0,20.625,21.170126485564253,0.0,0.0,Non-profitable
2261,3,5,16,371,54.0,6.869780077429502e-09,0.0,1.0,5.333333333333333,6.570928430252498,0.0,0.0,Non-profitable
5346,6,87,79,361,6.206896551724138,3.246932157987414e-06,0.0,1.0,13.166666666666666,13.839251649027037,0.0,0.0,Non-profitable
4119,10,56,318,414,16.071428571428573,1.9813274531770237e-11,0.0,1.0,31.8,32.28545493701532,0.0,0.0,Non-profitable
535,26,18,778,124,130.0,1.4000241410328265e-20,0.0,1.0,29.923076923076923,30.106068511492353,0.0,0.0,Non-profitable
5268,5,95,56,322,4.7368421052631575,7.02768539830865e-05,0.0001,0.9999,11.2,11.990686155045983,0.0,0.0,Non-profitable
273,8,48,151,348,15.0,2.917598211181896e-09,0.0,1.0,18.875,19.410359443987343,0.0,0.0,Non-profitable
4452,13,3,372,32,390.0,2.903842182967146e-10,0.0,1.0,28.615384615384617,28.97751320979087,0.0,0.0,Non-profitable
771,9,79,194,159,10.253164556962025,0.006080156614917278,0.0022,0.9978,21.555555555555557,22.04442578923222,0.01,0.01,Profitable
11178,4,69,32,98,5.217391304347826,0.7694166521485527,0.3698,0.6302,8.0,8.954656611700585,0.34,0.44,Profitable
7516,5,30,45,38,15.0,4.870697617679406,0.7601,0.2399,9.0,9.770974439940085,2.38,3.06,Profitable
7247,17,72,606,584,21.25,4.5762126511030545e-19,0.0,1.0,35.64705882352941,35.942171361172306,0.0,0.0,Non-profitable
11100,5,37,63,444,12.162162162162163,4.698734765603823e-09,0.0,1.0,12.6,13.403229973749736,0.0,0.0,Non-profitable
4646,24,44,978,210,49.090909090909086,2.463297720968866e-16,0.0,1.0,40.75,40.9683367719645,0.0,0.0,Non-profitable
3037,14,32,410,374,39.375,4.352594943777447e-17,0.0,1.0,29.285714285714285,29.624026994459587,0.0,0.0,Non-profitable
1473,5,0,72,341,0.0,7.328298781099851e-16,0.0,1.0,14.4,15.219357740654564,0.0,0.0,Non-profitable
1016,5,43,55,91,10.465116279069766,0.12587821421865122,0.0462,0.9538,11.0,11.788894180945446,0.07,0.09,Profitable
4518,25,59,1169,435,38.13559322033898,8.993285629938014e-24,0.0,1.0,46.76,46.98028087950061,0.0,0.0,Non-profitable
9370,15,68,1120,408,19.852941176470587,5.927025526324906e-14,0.0,1.0,74.66666666666667,75.11708927106743,0.0,0.0,Non-profitable
8908,19,35,1097,52,48.857142857142854,0.176138601470568,0.0106,0.9894,57.73684210526316,58.052560422956745,0.51,0.66,Profitable
8373,4,94,29,201,3.829787234042553,0.016455256544082204,0.0159,0.9841,7.25,8.196237875407576,0.01,0.01,Profitable
7533,9,15,187,278,54.0,5.431479940031293e-13,0.0,1.0,20.77777777777778,21.262791818467267,0.0,0.0,Non-profitable
2683,22,56,910,512,35.357142857142854,5.317430564997268e-24,0.0,1.0,41.36363636363637,41.6031030506897,0.0,0.0,Non-profitable
3629,7,17,145,557,37.05882352941176,6.7626044914492636e-15,0.0,1.0,20.714285714285715,21.338354494848602,0.0,0.0,Non-profitable
10991,13,18,850,569,65.0,2.842955265605831e-23,0.0,1.0,65.38461538461539,65.87275975216076,0.0,0.0,Non-profitable
5077,23,46,969,239,45.0,7.647627228910376e-17,0.0,1.0,42.130434782608695,42.36095290439538,0.0,0.0,Non-profitable
7431,16,40,1820,596,36.0,1.2241962203867015e-22,0.0,1.0,113.75,114.28095464015472,0.0,0.0,Non-profitable
999,24,95,730,543,22.736842105263158,5.0042076819786315e-21,0.0,1.0,30.416666666666668,30.61585068343458,0.0,0.0,Non-profitable
9215,16,19,551,564,75.78947368421052,4.37661481881966e-27,0.0,1.0,34.4375,34.74774241740823,0.0,0.0,Non-profitable
2286,6,27,114,292,20.0,2.323711949778272e-08,0.0,1.0,19.0,19.716074964313997,0.0,0.0,Non-profitable
1592,15,25,1724,156,54.0,8.441132518623934e-12,0.0,1.0,114.93333333333334,115.50330322522682,0.0,0.0,Non-profitable
367,15,74,577,495,18.243243243243246,2.2643544082427727e-15,0.0,1.0,38.46666666666667,38.80961546790758,0.0,0.0,Non-profitable
5234,5,85,81,353,5.294117647058823,1.1254811734190592e-05,0.0,1.0,16.2,17.035485507559393,0.0,0.0,Non-profitable
9862,5,37,33,227,12.162162162162163,1.3982659441413948e-05,0.0,1.0,6.6,7.349470750733649,0.0,0.0,Non-profitable
9805,18,65,660,374,24.923076923076923,1.64003323124195e-15,0.0,1.0,36.666666666666664,36.947864858918074,0.0,0.0,Non-profitable
6205,6,13,80,125,41.53846153846154,3.559878576700671e-06,0.0,1.0,13.333333333333334,14.007160886606666,0.0,0.0,Non-profitable
8442,4,63,30,298,5.7142857142857135,4.435245175061705e-05,0.0001,0.9999,7.5,8.449044120838579,0.0,0.0,Non-profitable
7386,4,83,43,433,4.337349397590362,2.4763526498166924e-06,0.0,1.0,10.75,11.735525311441618,0.0,0.0,Non-profitable
7215,27,69,1135,474,35.21739130434783,6.6824931206842e-25,0.0,1.0,42.03703703703704,42.23319422672335,0.0,0.0,Non-profitable
1491,14,87,559,496,14.482758620689655,1.4269374688645776e-13,0.0,1.0,39.92857142857143,40.30074574789391,0.0,0.0,Non-profitable
11071,15,37,1923,434,36.48648648648649,1.2208842843952508e-18,0.0,1.0,128.2,128.80935716045482,0.0,0.0,Non-profitable
8026,14,10,463,272,125.99999999999999,5.644745279083564e-21,0.0,1.0,33.07142857142857,33.42178601413757,0.0,0.0,Non-profitable
433,18,42,632,476,38.57142857142857,9.321265776904404e-22,0.0,1.0,35.111111111111114,35.38846264616624,0.0,0.0,Non-profitable
9597,18,10,725,139,162.0,1.0375891876909154e-19,0.0,1.0,40.27777777777778,40.567905709949116,0.0,0.0,Non-profitable
5290,11,51,279,319,19.411764705882355,1.3902802520588037e-10,0.0,1.0,25.363636363636363,25.778694482869042,0.0,0.0,Non-profitable
1685,22,21,1482,469,94.28571428571429,4.284858098936282e-32,0.0,1.0,67.36363636363636,67.65568369601725,0.0,0.0,Non-profitable
5342,4,31,29,690,11.612903225806452,3.175823937925127e-11,0.0,1.0,7.25,8.196237875407576,0.0,0.0,Non-profitable
9579,6,61,106,357,8.852459016393443,3.0914329126604246e-07,0.0,1.0,17.666666666666668,18.372801063676977,0.0,0.0,Non-profitable
7660,4,37,49,41,9.72972972972973,4.4552306509134185,0.913,0.08699999999999997,12.25,13.252362784027637,2.95,3.79,Profitable
1461,5,74,38,336,6.081081081081082,8.708081761829429e-06,0.0,1.0,7.6,8.35843062123633,0.0,0.0,Non-profitable
821,21,46,2077,618,41.086956521739125,1.827540112917601e-27,0.0,1.0,98.9047619047619,99.27757625845784,0.0,0.0,Non-profitable
11084,15,4,1053,227,337.5,5.920313392802417e-26,0.0,1.0,70.2,70.63716156423186,0.0,0.0,Non-profitable
8690,22,73,1385,436,27.123287671232877,3.120149902073837e-19,0.0,1.0,62.95454545454545,63.23767613902988,0.0,0.0,Non-profitable
2937,22,47,871,305,42.12765957446808,6.169088442652274e-19,0.0,1.0,39.59090909090909,39.826790733962824,0.0,0.0,Non-profitable
9701,9,13,312,467,62.30769230769231,3.0469645936764955e-17,0.0,1.0,34.666666666666664,35.22054129641283,0.0,0.0,Non-profitable
9949,12,36,877,619,30.0,3.794855249601378e-19,0.0,1.0,73.08333333333333,73.64089949961738,0.0,0.0,Non-profitable
10837,5,47,68,609,9.574468085106384,1.5820729943157147e-10,0.0,1.0,13.6,14.412189844252419,0.0,0.0,Non-profitable
3120,3,49,22,305,5.5102040816326525,4.010492564607521e-05,0.0001,0.9999,7.333333333333333,8.600974135681305,0.0,0.0,Non-profitable
5885,9,94,211,676,8.617021276595745,1.8756855070059535e-12,0.0,1.0,23.444444444444443,23.942679718232814,0.0,0.0,Non-profitable
3830,15,59,459,66,22.881355932203387,7.682774198323419,0.7353,0.26470000000000005,30.6,30.919593536465836,11.88,15.19,Profitable
7987,15,96,460,114,14.0625,2.0825408954286075,0.3402,0.6597999999999999,30.666666666666668,30.986458129105173,3.23,4.1,Profitable
7798,13,28,429,562,41.785714285714285,1.0101920428530532e-20,0.0,1.0,33.0,33.37715557990611,0.0,0.0,Non-profitable
92,7,12,89,48,52.5,0.00408506523485738,0.0006,0.9994,12.714285714285714,13.287285968371563,0.0,0.0,Non-profitable
7055,24,57,1021,628,37.89473684210526,1.0449959419161434e-28,0.0,1.0,42.541666666666664,42.76332427924993,0.0,0.0,Non-profitable
10240,20,10,1381,495,180.0,2.7062315893414833e-36,0.0,1.0,69.05,69.37506923223758,0.0,0.0,Non-profitable
3025,12,4,306,356,270.0,1.1296721131483392e-24,0.0,1.0,25.5,25.880847923304454,0.0,0.0,Non-profitable
9283,3,49,18,290,5.5102040816326525,6.488403597413572e-05,0.0001,0.9999,6.0,7.247610332062101,0.0,0.0,Non-profitable
9970,8,3,162,255,240.0,3.533850514358513e-16,0.0,1.0,20.25,20.79303354808349,0.0,0.0,Non-profitable
2730,17,64,1231,313,23.90625,4.745656795057537e-13,0.0,1.0,72.41176470588235,72.80315275093275,0.0,0.0,Non-profitable
2795,3,0,13,363,0.0,3.3775448485175177e-11,0.0,1.0,4.333333333333333,5.555905577538095,0.0,0.0,Non-profitable
9260,25,20,1706,601,112.5,2.8795276024808095e-40,0.0,1.0,68.24,68.49849854292795,0.0,0.0,Non-profitable
8182,7,91,121,175,6.923076923076923,0.01666158912469289,0.0085,0.9915,17.285714285714285,17.88789655492987,0.01,0.02,Profitable
10095,19,9,1293,424,190.0,1.3535950139548667e-33,0.0,1.0,68.05263157894737,68.39251356204649,0.0,0.0,Non-profitable
8475,22,98,1608,120,20.20408163265306,0.7460441028012584,0.0884,0.9116,73.0909090909091,73.39453887313486,2.74,3.47,Profitable
4370,6,83,88,228,6.506024096385542,0.0006879092962843686,0.0005,0.9995,14.666666666666666,15.350434787243683,0.0,0.0,Non-profitable
10573,17,27,421,223,56.66666666666667,4.436813659424303e-16,0.0,1.0,24.764705882352942,25.031320869803206,0.0,0.0,Non-profitable
3712,11,63,259,305,15.714285714285714,3.552950928344465e-09,0.0,1.0,23.545454545454547,23.953143826035795,0.0,0.0,Non-profitable
6637,14,46,1117,239,27.39130434782609,7.224370114849721e-11,0.0,1.0,79.78571428571429,80.28469920035268,0.0,0.0,Non-profitable
3152,6,84,89,124,6.428571428571428,0.39225655666917686,0.1649,0.8351,14.833333333333334,15.518344024823312,0.3,0.39,Profitable
5610,4,58,36,69,6.206896551724138,2.200280847353666,0.7503,0.24970000000000003,9.0,9.965881593424598,1.1,1.4,Profitable
6460,5,78,57,351,5.769230769230768,7.051142257786012e-06,0.0,1.0,11.4,12.19247812914652,0.0,0.0,Non-profitable
1349,7,4,148,69,157.5,1.5981411594335777e-07,0.0,1.0,21.142857142857142,21.769661737338442,0.0,0.0,Non-profitable
1880,6,17,93,150,31.764705882352942,2.6518421094816538e-06,0.0,1.0,15.5,16.18998097514182,0.0,0.0,Non-profitable
641,6,77,119,86,7.012987012987013,2.70550883788111,0.7957,0.20430000000000004,19.833333333333332,20.555621152212133,2.78,3.55,Profitable
