ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Is_parent,Children,Day,Month,Quarter,Year,Tenure,Cluster,Recency,Monetary,Frequency,R,F,M,RFM_Score,Segment,T,CLTV_label
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,58,0,0,4,9,3,2012,28,1,58,73.5,22,3,5,5,355,Loyal Customers,663,Non-profitable
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,61,1,2,8,3,1,2014,9,0,38,6.75,4,4,1,1,411,Promising,113,Profitable
4141,1965,Graduation,Partner,71613.0,0,0,2013-08-21,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,50,0,0,21,8,3,2013,16,2,26,38.8,20,4,4,4,444,Loyal Customers,312,Non-profitable
6182,1984,Graduation,Partner,26646.0,1,0,2014-02-10,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,31,1,1,10,2,1,2014,10,0,26,8.833333333333334,6,4,2,1,421,Potential Loyalists,139,Non-profitable
5324,1981,PhD,Partner,58293.0,1,0,2014-01-19,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,34,1,1,19,1,1,2014,11,2,94,30.142857142857142,14,1,3,3,133,At risk,161,Profitable
7446,1967,PostGraduation,Partner,62513.0,0,1,2013-09-09,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,48,1,1,9,9,3,2013,15,2,16,35.8,20,5,4,3,543,Champions,293,Non-profitable
965,1971,Graduation,Single,55635.0,0,1,2012-11-13,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,44,1,1,13,11,4,2012,25,2,34,34.705882352941174,17,4,4,3,443,Loyal Customers,593,Non-profitable
6177,1985,PhD,Partner,33454.0,1,0,2013-05-08,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,30,1,1,8,5,2,2013,20,0,32,21.125,8,4,2,2,422,Potential Loyalists,417,Non-profitable
4855,1974,PhD,Partner,30351.0,1,0,2013-06-06,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,41,1,1,6,6,2,2013,19,0,19,9.2,5,5,1,1,511,New Customers,388,Non-profitable
5899,1950,PhD,Partner,5648.0,1,1,2014-03-13,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,65,1,2,13,3,1,2014,9,0,68,49.0,1,2,1,4,214,Hibernating,108,Profitable
387,1976,UnderGraduation,Partner,7500.0,0,0,2012-11-13,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,39,0,0,13,11,4,2012,25,0,59,12.2,5,2,1,2,212,Hibernating,593,Non-profitable
2125,1959,Graduation,Single,63033.0,0,0,2013-11-15,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,56,0,0,15,11,4,2013,13,3,82,73.46666666666667,15,1,3,5,135,At risk,226,Non-profitable
8180,1952,PostGraduation,Single,59354.0,1,1,2013-11-15,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,63,1,2,15,11,4,2013,13,0,53,25.83333333333333,12,3,3,3,333,Need Attention,226,Non-profitable
2569,1987,Graduation,Partner,17323.0,0,0,2012-10-10,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,28,0,0,10,10,4,2012,27,0,38,11.5,4,4,1,2,412,Promising,627,Non-profitable
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,69,0,0,24,11,4,2012,25,3,23,52.6,25,4,5,4,454,Loyal Customers,582,Non-profitable
9736,1980,Graduation,Partner,41850.0,1,1,2012-12-24,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,35,1,2,24,12,4,2012,24,0,51,16.0,6,3,2,2,322,About to sleep,552,Non-profitable
4939,1946,Graduation,Partner,37760.0,0,0,2012-08-31,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,69,0,0,31,8,3,2012,28,0,20,28.818181818181817,11,4,3,3,433,Potential Loyalists,667,Non-profitable
6565,1949,PostGraduation,Partner,76995.0,0,1,2013-03-28,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,66,1,1,28,3,1,2013,21,1,91,74.25,24,1,5,5,155,Can't loose,458,Non-profitable
2278,1985,PostGraduation,Single,33812.0,1,0,2012-11-03,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,30,1,1,3,11,4,2012,26,0,86,22.166666666666668,6,1,2,2,122,Hibernating,603,Non-profitable
9360,1982,Graduation,Partner,37040.0,0,0,2012-08-08,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,33,0,0,8,8,3,2012,29,0,41,28.727272727272727,11,3,3,3,333,Need Attention,690,Non-profitable
5376,1979,Graduation,Partner,2447.0,1,0,2013-01-06,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,36,1,1,6,1,1,2013,24,1,42,61.785714285714285,28,3,5,4,354,Loyal Customers,539,Non-profitable
1993,1949,PhD,Partner,58607.0,0,1,2012-12-23,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,66,1,1,23,12,4,2012,24,3,63,69.42857142857143,14,2,3,5,235,At risk,553,Non-profitable
4047,1954,PhD,Partner,65324.0,0,1,2014-01-11,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,61,1,1,11,1,1,2014,11,2,0,32.0,17,5,4,3,543,Champions,169,Non-profitable
1409,1951,Graduation,Partner,40689.0,0,1,2013-03-18,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,64,1,1,18,3,1,2013,21,2,69,34.15384615384615,13,2,3,3,233,At risk,468,Non-profitable
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,46,0,0,2,1,1,2013,24,0,89,12.5,6,1,2,2,122,Hibernating,543,Non-profitable
2404,1976,Graduation,Partner,53359.0,1,1,2013-05-27,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,39,1,2,27,5,2,2013,19,0,4,25.7,10,5,3,3,533,Potential Loyalists,398,Non-profitable
9422,1989,Graduation,Partner,38360.0,1,0,2013-05-31,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,26,1,1,31,5,2,2013,19,0,26,18.714285714285715,7,4,2,2,422,Potential Loyalists,394,Non-profitable
1966,1965,PhD,Partner,84618.0,0,0,2013-11-22,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,50,0,0,22,11,4,2013,13,1,96,66.88,25,1,5,4,154,Can't loose,219,Non-profitable
6864,1989,PostGraduation,Single,10979.0,0,0,2014-05-22,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,26,0,0,22,5,2,2014,7,0,34,5.0,6,4,2,1,421,Potential Loyalists,38,Profitable
3033,1963,PostGraduation,Partner,38620.0,0,0,2013-05-11,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,52,0,0,11,5,2,2013,20,0,56,31.8,10,3,3,3,333,Need Attention,414,Non-profitable
5710,1970,Graduation,Partner,40548.0,0,1,2012-10-10,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,45,1,1,10,10,4,2012,27,0,31,17.142857142857142,7,4,2,2,422,Potential Loyalists,627,Non-profitable
7373,1952,PhD,Single,46610.0,0,2,2012-10-29,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,63,1,2,29,10,4,2012,26,0,8,27.454545454545453,11,5,3,3,533,Potential Loyalists,608,Non-profitable
8755,1946,PostGraduation,Partner,68657.0,0,0,2013-02-20,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,69,0,0,20,2,1,2013,22,3,4,70.3529411764706,17,5,4,5,545,Champions,494,Non-profitable
10738,1951,PostGraduation,Single,49389.0,1,1,2013-08-29,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,64,1,2,29,8,3,2013,16,0,55,13.0,5,3,1,2,312,About to sleep,304,Non-profitable
